id_venda,data_venda,filial,vendedor,produto,quantidade,valor_unitario,valor_total
1,2026-03-11,Canoas,Bruno Carvalho,Medicamento A,2,25.9,51.8
2,2026-06-24,São Leopoldo,Maria Oliveira,Suplemento E,1,120.0,120.0
3,2026-02-01,Eldorado do Sul,Lucas Rodrigues,Cosmético C,5,89.9,449.5
4,2026-06-30,Canoas,Lucas Rodrigues,Cosmético C,8,89.9,719.2
5,2026-05-17,Canoas,Bruno Carvalho,Medicamento A,6,25.9,155.4
6,2026-03-20,Eldorado do Sul,Ana Pereira,Higiene D,5,15.3,76.5
7,2026-01-27,Porto Alegre - Centro,Lucas Rodrigues,Medicamento B,-6,45.5,273.0
8,2026-07-11,Eldorado do Sul,Maria Oliveira,Higiene D,5,15.3,76.5
9,2026-01-24,Eldorado do Sul,Ana Pereira,Higiene D,1,15.3,15.3
10,2026-05-09,Porto Alegre - Zona Sul,João Silva,Suplemento E,8,120.0,960.0
11,2026-05-30,Canoas,Juliana Costa,Suplemento E,7,120.0,840.0
12,2026-07-22,Porto Alegre - Zona Sul,Carlos Souza,Medicamento F,6,32.7,196.2
13,2026-07-25,Canoas,Bruno Carvalho,Higiene D,3,15.3,45.9
14,2026-03-10,Porto Alegre - Zona Sul,Larissa Gomes,Medicamento F,4,32.7,130.8
15,2026-05-19,Eldorado do Sul,Pedro Santos,Medicamento A,9,25.9,233.1
16,2026-03-24,Gravataí,Carlos Souza,Medicamento A,2,25.9,51.8
17,2026-02-07,Eldorado do Sul,Ana Pereira,Medicamento B,2,45.5,1090.99
18,2026-06-05,Canoas,Lucas Rodrigues,Higiene D,8,15.3,1122.39
19,2026-02-19,São Leopoldo,Maria Oliveira,Cosmético C,10,89.9,899.0
20,2026-04-09,Porto Alegre - Centro,Juliana Costa,Cosmético C,4,89.9,1359.5900000000001
21,2026-05-19,Porto Alegre - Zona Sul,Larissa Gomes,Higiene D,4,15.3,61.2
22,2026-02-19,Porto Alegre - Zona Sul,Rafael Almeida,Medicamento A,4,25.9,103.6
23,2026-01-07,São Leopoldo,Pedro Santos,Medicamento F,2,32.7,65.4
24,2026-05-01,Porto Alegre - Zona Sul,Fernanda Lima,Higiene D,8,15.3,122.4
25,2026-02-22,Porto Alegre - Centro,Rafael Almeida,Medicamento B,10,45.5,455.0
26,2026-05-03,Canoas,Lucas Rodrigues,Medicamento A,1,25.9,25.9
27,2026-02-05,Porto Alegre - Zona Sul,Maria Oliveira,Medicamento B,4,45.5,182.0
28,2026-02-09,São Leopoldo,Carlos Souza,Medicamento A,2,25.9,51.8
29,2026-06-12,Canoas,Larissa Gomes,Higiene D,6,15.3,91.8
30,2026-06-21,Porto Alegre - Centro,Camila Ferreira,Medicamento B,8,45.5,364.0
31,2026-05-28,Eldorado do Sul,Larissa Gomes,Suplemento E,6,120.0,720.0
32,2026-04-04,Canoas,Juliana Costa,Medicamento B,9,45.5,409.5
33,2026-06-09,Eldorado do Sul,Bruno Carvalho,Medicamento F,6,32.7,196.2
34,2026-06-06,Eldorado do Sul,Larissa Gomes,Higiene D,4,15.3,61.2
35,2026-02-12,São Leopoldo,Pedro Santos,Medicamento A,8,25.9,207.2
36,2026-05-16,Gravataí,Ana Pereira,Suplemento E,2,120.0,240.0
37,2026-02-03,Porto Alegre - Centro,Juliana Costa,Medicamento F,1,32.7,32.7
38,2026-07-04,Porto Alegre - Zona Sul,Lucas Rodrigues,Medicamento F,9,32.7,294.3
39,2026-04-20,Gravataí,Fernanda Lima,Suplemento E,9,120.0,1080.0
40,2026-06-19,Eldorado do Sul,Camila Ferreira,Suplemento E,1,120.0,120.0
41,2026-05-07,Canoas,Maria Oliveira,Suplemento E,9,120.0,1080.0
42,2026-02-10,Eldorado do Sul,Pedro Santos,Higiene D,6,15.3,91.8
43,2026-02-15,Eldorado do Sul,João Silva,Medicamento B,6,45.5,273.0
44,2026-03-18,São Leopoldo,Lucas Rodrigues,Cosmético C,10,89.9,899.0
45,2026-02-09,Porto Alegre - Zona Sul,Pedro Santos,Medicamento F,8,32.7,261.6
46,2026-02-27,São Leopoldo,Maria Oliveira,Medicamento A,6,25.9,155.4
47,2026-05-31,Canoas,Rafael Almeida,Medicamento B,7,45.5,318.5
48,2026-04-30,Porto Alegre - Centro,Pedro Santos,Cosmético C,4,89.9,359.6
49,2026-01-15,Porto Alegre - Centro,Camila Ferreira,Medicamento A,6,25.9,155.4
50,2026-01-26,Porto Alegre - Zona Sul,Pedro Santos,Suplemento E,5,120.0,600.0
51,2026-05-25,São Leopoldo,Lucas Rodrigues,Medicamento B,3,45.5,136.5
52,2026-02-08,Eldorado do Sul,Maria Oliveira,Medicamento F,10,32.7,327.0
53,2026-05-07,Porto Alegre - Centro,Maria Oliveira,Medicamento A,5,25.9,129.5
54,2026-02-11,Eldorado do Sul,Larissa Gomes,Cosmético C,3,89.9,269.7
55,2026-07-25,São Leopoldo,Rafael Almeida,Medicamento B,3,45.5,136.5
56,2026-07-14,São Leopoldo,Larissa Gomes,Higiene D,2,15.3,30.6
57,2026-03-27,Porto Alegre - Centro,Ana Pereira,Medicamento F,10,32.7,327.0
58,2026-04-23,Gravataí,Rafael Almeida,Medicamento B,8,45.5,364.0
59,2026-04-30,São Leopoldo,Rafael Almeida,Medicamento A,8,25.9,207.2
60,2026-05-21,Porto Alegre - Zona Sul,Pedro Santos,Medicamento F,8,32.7,261.6
61,2026-05-25,São Leopoldo,Carlos Souza,Suplemento E,7,120.0,840000.0
62,2026-04-17,Canoas,Fernanda Lima,Medicamento B,8,45.5,364.0
63,2026-04-18,GRAVATAÍ  ,Larissa Gomes,Cosmético C,9,89.9,809.1
64,2026-04-20,Porto Alegre - Centro,Camila Ferreira,Medicamento B,5,45.5,227.5
65,2026-01-11,Eldorado do Sul,Pedro Santos,Medicamento A,4,25.9,103.6
66,2026-07-07,Eldorado do Sul,Lucas Rodrigues,Medicamento F,6,32.7,196.2
67,2026-04-25,Gravataí,João Silva,Medicamento F,8,32.7,261.6
68,2026-02-02,Eldorado do Sul,Bruno Carvalho,Suplemento E,2,120.0,240.0
69,2026-02-10,Porto Alegre - Centro,Fernanda Lima,Medicamento F,9,32.7,294.3
70,2026-01-10,Canoas,Ana Pereira,Medicamento A,7,25.9,181.3
71,2026-05-23,Porto Alegre - Zona Sul,Maria Oliveira,Higiene D,1,15.3,15.3
72,2026-07-10,Porto Alegre - Centro,Fernanda Lima,Suplemento E,2,120.0,240000.0
73,2026-03-19,Canoas,Bruno Carvalho,Medicamento F,9,32.7,294.3
74,2026-03-05,Porto Alegre - Centro,Rafael Almeida,Cosmético C,2,89.9,179.8
75,2026-02-27,Porto Alegre - Zona Sul,Carlos Souza,Medicamento F,5,32.7,163.5
76,2026-07-21,Gravataí,Juliana Costa,Medicamento B,3,45.5,136.5
77,2026-03-06,Porto Alegre - Zona Sul,Maria Oliveira,Medicamento B,9,45.5,409.5
78,2026-02-17,Porto Alegre - Centro,Camila Ferreira,Suplemento E,-2,120.0,240.0
79,2026-05-10,Canoas,Rafael Almeida,Medicamento A,7,25.9,181.3
80,2026-06-09,Porto Alegre - Zona Sul,Ana Pereira,Medicamento B,1,45.5,45.5
81,2026-07-04,São Leopoldo,Pedro Santos,Higiene D,1,15.3,15.3
82,2026-05-10,Gravataí,Larissa Gomes,Cosmético C,2,89.9,179.8
83,2026-04-18,Porto Alegre - Zona Sul,Ana Pereira,Suplemento E,9,120.0,1080.0
84,2026-07-04,Gravataí,Juliana Costa,Medicamento B,10,45.5,455.0
85,2026-07-26,Gravataí,Bruno Carvalho,Medicamento A,9,25.9,233.1
86,2026-01-10,Eldorado do Sul,,Medicamento B,9,45.5,409.5
87,2026-03-31,Eldorado do Sul,Bruno Carvalho,Suplemento E,3,120.0,360.0
88,2026-04-21,São Leopoldo,Juliana Costa,Suplemento E,1,120.0,120.0
89,2026-04-14,São Leopoldo,Pedro Santos,Higiene D,6,15.3,91.8
90,2026-04-14,São Leopoldo,Juliana Costa,Medicamento A,1,25.9,25.9
91,2026-06-16,Gravataí,João Silva,Medicamento A,1,25.9,25.9
92,2026-04-23,Gravataí,Larissa Gomes,Cosmético C,3,89.9,269.7
93,2026-03-16,Eldorado do Sul,Maria Oliveira,Medicamento B,5,45.5,227.5
94,2026-03-11,Porto Alegre - Zona Sul,Pedro Santos,Suplemento E,9,120.0,1080.0
95,2026-07-12,São Leopoldo,Ana Pereira,Cosmético C,1,89.9,89.9
96,2026-01-07,Gravataí,Ana Pereira,Suplemento E,10,120.0,1200.0
97,2026-05-06,Porto Alegre - Centro,Maria Oliveira,Suplemento E,6,120.0,720000.0
98,2026-03-08,Porto Alegre - Zona Sul,Bruno Carvalho,Suplemento E,6,120.0,720.0
99,2026-01-26,São Leopoldo,Maria Oliveira,Suplemento E,7,120.0,840.0
100,2026-03-17,Eldorado do Sul,Maria Oliveira,Medicamento B,9,45.5,409.5
101,2026-01-24,São Leopoldo,Bruno Carvalho,Medicamento F,9,32.7,294.3
102,2026-04-27,Porto Alegre - Centro,Larissa Gomes,Medicamento A,9,25.9,233.1
103,2026-06-13,GRAVATAÍ  ,Fernanda Lima,Medicamento B,7,45.5,318.5
104,2026-06-02,Gravataí,Ana Pereira,Higiene D,10,15.3,153.0
105,2026-03-20,Gravataí,Camila Ferreira,Suplemento E,7,120.0,840.0
106,2026-06-20,Porto Alegre - Centro,Juliana Costa,Medicamento B,4,45.5,182.0
107,2026-01-22,São Leopoldo,,Medicamento F,1,32.7,32.7
108,2026-04-23,Gravataí,Fernanda Lima,Medicamento F,6,32.7,196.2
109,2026-04-18,Porto Alegre - Zona Sul,Fernanda Lima,Medicamento F,9,32.7,294.3
110,2026-03-15,Porto Alegre - Zona Sul,Camila Ferreira,Suplemento E,8,120.0,960.0
111,2026-02-09,Porto Alegre - Zona Sul,Camila Ferreira,Medicamento A,1,25.9,25.9
112,2026-01-10,Porto Alegre - Centro,,Suplemento E,5,120.0,600.0
113,2026-04-23,São Leopoldo,Fernanda Lima,Medicamento B,5,45.5,227.5
114,2026-07-18,Eldorado do Sul,,Higiene D,7,15.3,107.1
115,2026-07-16,Gravataí,Fernanda Lima,Medicamento F,5,32.7,163.5
116,2026-03-09,São Leopoldo,Ana Pereira,Medicamento F,10,32.7,327.0
117,2026-06-10,Porto Alegre - Centro,Bruno Carvalho,Cosmético C,3,89.9,269.7
118,2026-05-16,Porto Alegre - Zona Sul,João Silva,Higiene D,9,15.3,137.7
119,2026-06-15,São Leopoldo,Fernanda Lima,Medicamento F,8,32.7,261.6
120,2026-06-18,Gravataí,Camila Ferreira,Medicamento A,7,25.9,181.3
121,2026-03-18,São Leopoldo,Maria Oliveira,Medicamento A,9,25.9,233.1
122,2026-07-08,Eldorado do Sul,Lucas Rodrigues,Medicamento A,3,25.9,77.7
123,2026-05-01,Porto Alegre - Centro,Bruno Carvalho,Medicamento A,7,25.9,1181.29
124,2026-06-20,Canoas,Larissa Gomes,Higiene D,6,15.3,91.8
125,2026-05-31,Porto Alegre - Centro,Bruno Carvalho,Medicamento F,10,32.7,327.0
126,2026-02-24,São Leopoldo,Fernanda Lima,Medicamento F,6,32.7,196.2
127,2026-04-19,Canoas,Fernanda Lima,Higiene D,6,15.3,91.8
128,2026-05-06,Gravataí,Ana Pereira,Medicamento B,7,45.5,318.5
129,2026-01-18,Eldorado do Sul,Lucas Rodrigues,Suplemento E,3,120.0,360.0
130,2026-05-15,Eldorado do Sul,Maria Oliveira,Medicamento F,2,32.7,65.4
131,2026-03-17,São Leopoldo,Camila Ferreira,Medicamento A,9,25.9,233.1
132,2026-02-15,São Leopoldo,Rafael Almeida,Medicamento B,7,45.5,318.5
133,2026-03-01,Canoas,João Silva,Suplemento E,7,120.0,840.0
134,2026-05-28,São Leopoldo,Lucas Rodrigues,Medicamento A,5,25.9,129.5
135,2026-05-08,Gravataí,Fernanda Lima,Medicamento B,3,45.5,136.5
136,2026-01-14,Canoas,Rafael Almeida,Medicamento A,7,25.9,181.3
137,2026-06-07,Gravataí,Maria Oliveira,Medicamento B,5,45.5,227.5
138,2026-05-10,Canoas,Fernanda Lima,Suplemento E,10,120.0,1200.0
139,2026-05-22,São Leopoldo,Lucas Rodrigues,Medicamento F,8,32.7,261.6
140,2026-04-26,Porto Alegre - Centro,João Silva,Cosmético C,8,89.9,719.2
141,2026-02-02,São Leopoldo,Lucas Rodrigues,Cosmético C,1,89.9,89.9
142,2026-03-24,Porto Alegre - Centro,Carlos Souza,Medicamento B,10,45.5,455.0
143,2026-04-17,São Leopoldo,Maria Oliveira,Medicamento F,3,32.7,98.1
144,2026-01-20,Gravataí,Larissa Gomes,Higiene D,4,15.3,61.2
145,2026-07-25,Canoas,Pedro Santos,Cosmético C,1,89.9,89.9
146,2026-01-20,São Leopoldo,Bruno Carvalho,Medicamento F,1,32.7,32.7
147,2026-06-05,Porto Alegre - Zona Sul,Juliana Costa,Medicamento B,6,45.5,273.0
148,2026-03-15,Canoas,Maria Oliveira,Medicamento F,10,32.7,327.0
149,2026-05-10,Porto Alegre - Zona Sul,Carlos Souza,Medicamento A,10,25.9,259.0
150,2026-05-16,Porto Alegre - Zona Sul,João Silva,Higiene D,9,,137.7
151,2026-03-13,Canoas,Pedro Santos,Cosmético C,7,89.9,629.3
152,2026-02-18,São Leopoldo,Ana Pereira,Higiene D,6,15.3,91.8
153,2026-06-12,Porto Alegre - Zona Sul,Rafael Almeida,Medicamento A,10,25.9,259.0
154,2026-05-06,Eldorado do Sul,João Silva,Cosmético C,9,89.9,809.1
155,2026-04-29,Eldorado do Sul,Lucas Rodrigues,Suplemento E,8,120.0,960.0
156,2026-07-24,Gravataí,Ana Pereira,Suplemento E,9,120.0,1080.0
157,2026-07-21,Eldorado do Sul,Ana Pereira,Medicamento A,1,25.9,25.9
158,2026-07-28,Gravataí,Fernanda Lima,Suplemento E,7,120.0,840.0
159,2026-03-28,Gravataí,Larissa Gomes,Higiene D,5,15.3,76.5
160,2026-01-10,Eldorado do Sul,Ana Pereira,Medicamento A,8,25.9,207.2
161,2026-03-10,Porto Alegre - Centro,Pedro Santos,Cosmético C,9,89.9,809.1
162,2026-06-01,Gravataí,Carlos Souza,Suplemento E,3,120.0,360.0
163,2026-07-26,São Leopoldo,Rafael Almeida,Cosmético C,10,89.9,899.0
164,2026-05-18,Eldorado do Sul,Larissa Gomes,Medicamento B,9,45.5,409.5
165,2026-05-29,São Leopoldo,Rafael Almeida,Medicamento B,1,45.5,45.5
166,2026-01-01,Eldorado do Sul,Pedro Santos,Higiene D,9,15.3,137.7
167,2026-03-21,Gravataí,João Silva,Medicamento F,3,32.7,98.1
168,2026-05-31,Gravataí,Bruno Carvalho,Medicamento F,5,32.7,163.5
169,2026-05-28,São Leopoldo,Juliana Costa,Medicamento B,6,45.5,273.0
170,2026-05-08,Gravataí,Lucas Rodrigues,Medicamento F,3,32.7,98.1
171,2026-03-26,Eldorado do Sul,Larissa Gomes,Higiene D,9,15.3,137.7
172,2026-04-05,Gravataí,Pedro Santos,Higiene D,8,15.3,122.4
173,2026-01-08,Porto Alegre - Zona Sul,Pedro Santos,Medicamento F,5,32.7,163.5
174,2026-02-22,Eldorado do Sul,Ana Pereira,Medicamento A,1,25.9,25.9
175,2026-05-01,São Leopoldo,Carlos Souza,Medicamento A,5,25.9,129.5
